"subjectid" "activity" "fbodyaccelerationjerkmagmean" "fbodyaccelerationjerkmagmeanfreq" "fbodyaccelerationjerkmagstd" "fbodyaccelerationjerkmeanfreqx" "fbodyaccelerationjerkmeanfreqy" "fbodyaccelerationjerkmeanfreqz" "fbodyaccelerationjerkmeanx" "fbodyaccelerationjerkmeany" "fbodyaccelerationjerkmeanz" "fbodyaccelerationjerkstdx" "fbodyaccelerationjerkstdy" "fbodyaccelerationjerkstdz" "fbodyaccelerationmagmean" "fbodyaccelerationmagmeanfreq" "fbodyaccelerationmagstd" "fbodyaccelerationmeanfreqx" "fbodyaccelerationmeanfreqy" "fbodyaccelerationmeanfreqz" "fbodyaccelerationmeanx" "fbodyaccelerationmeany" "fbodyaccelerationmeanz" "fbodyaccelerationstdx" "fbodyaccelerationstdy" "fbodyaccelerationstdz" "fbodygyrojerkmagmean" "fbodygyrojerkmagmeanfreq" "fbodygyrojerkmagstd" "fbodygyromagmean" "fbodygyromagmeanfreq" "fbodygyromagstd" "fbodygyromeanfreqx" "fbodygyromeanfreqy" "fbodygyromeanfreqz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "tbodyaccelerationjerkmagmean" "tbodyaccelerationjerkmagstd" "tbodyaccelerationjerkmeanx" "tbodyaccelerationjerkmeany" "tbodyaccelerationjerkmeanz" "tbodyaccelerationjerkstdx" "tbodyaccelerationjerkstdy" "tbodyaccelerationjerkstdz" "tbodyaccelerationmagmean" "tbodyaccelerationmagstd" "tbodyaccelerationmeanx" "tbodyaccelerationmeany" "tbodyaccelerationmeanz" "tbodyaccelerationstdx" "tbodyaccelerationstdy" "tbodyaccelerationstdz" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodygyromagmean" "tbodygyromagstd" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tgravityaccelerationmagmean" "tgravityaccelerationmagstd" "tgravityaccelerationmeanx" "tgravityaccelerationmeany" "tgravityaccelerationmeanz" "tgravityaccelerationstdx" "tgravityaccelerationstdy" "tgravityaccelerationstdz"
"1" 1 "walking" -0.49907577 0.20005518 -0.54182308 -0.048800597 -0.21527916 -0.096449638 -0.54734889 -0.50734362 -0.69530511 -0.54397978 -0.46625168 -0.73786193 -0.47844852 0.14206216 -0.58971023 -0.18055871 0.057629165 0.058369278 -0.53189516 -0.40643545 -0.59641117 -0.55306062 -0.39015094 -0.49858309 -0.64597066 0.19803158 -0.68581126 -0.53500277 0.064930944 -0.56657667 -0.03203241 -0.090151724 -0.018006394 -0.62321918 -0.50530943 -0.55352907 -0.70826342 -0.42982583 -0.65047616 -0.54543161 -0.51592217 0.07709305 0.016590844 -0.0091075873 -0.52472192 -0.4704124 -0.71732227 -0.45363294 -0.4970964 0.26569692 -0.018298173 -0.10784573 -0.54579533 -0.36771622 -0.50264575 -0.63951743 -0.65205077 -0.09711202 -0.041716481 -0.047139399 -0.63781269 -0.63447224 -0.66459198 -0.47540479 -0.49983959 -0.020876406 -0.088072273 0.086264167 -0.68655572 -0.45097981 -0.59749614 -0.45363294 -0.4970964 0.74486741 -0.082556258 0.07233987 -0.95985944 -0.95115063 -0.92581759
"2" 2 "standing" -0.50974643 0.19306682 -0.5188008 0.086800054 -0.1397766 -0.094265187 -0.56168205 -0.5089038 -0.71574533 -0.59510561 -0.50914754 -0.76708702 -0.51456986 0.19219974 -0.64666231 -0.10676342 0.10573418 0.087210586 -0.57377091 -0.43256658 -0.63008122 -0.6197881 -0.46472386 -0.60067861 -0.75161508 0.12461207 -0.74419498 -0.69974295 0.047132481 -0.72531034 -0.0057650065 -0.070215501 0.051362729 -0.63871769 -0.72206898 -0.60159489 -0.73458854 -0.72716774 -0.68311449 -0.58777745 -0.51211528 0.078535316 0.0070877125 0.00075576075 -0.5578096 -0.49187589 -0.74188539 -0.5352818 -0.55281255 0.27311312 -0.019132318 -0.11564996 -0.6055865 -0.42896299 -0.58936006 -0.74655954 -0.74008873 -0.087558749 -0.043398684 -0.055754183 -0.6716791 -0.78359547 -0.67461193 -0.61477105 -0.68058489 -0.051703066 -0.056842019 0.087259942 -0.71064893 -0.72294367 -0.63488893 -0.5352818 -0.55281255 0.66078287 -0.14721989 0.13486534 -0.96301551 -0.96003356 -0.94536538
"3" 3 "walking" -0.60475211 0.11231984 -0.61564369 -0.04769412 -0.23687424 -0.19365754 -0.6458935 -0.58294992 -0.78010164 -0.65784406 -0.55985119 -0.81080602 -0.57907645 0.077066559 -0.66307984 -0.19281734 0.038928252 0.0044726145 -0.62573329 -0.50177994 -0.69965683 -0.62380502 -0.50275364 -0.65744377 -0.8100855 0.059962873 -0.81003272 -0.71682214 -0.084607523 -0.7038394 -0.10256807 -0.16767503 -0.032186269 -0.64209772 -0.77514499 -0.67073471 -0.71927662 -0.75850529 -0.75100888 -0.65018243 -0.60765821 0.070173126 0.014466433 -0.00052681887 -0.63548469 -0.55721187 -0.79606624 -0.5631408 -0.59122478 0.27342872 -0.017856067 -0.10649263 -0.6234136 -0.48001592 -0.65362558 -0.78405666 -0.80366136 -0.099155461 -0.040192394 -0.052117826 -0.68932843 -0.84265986 -0.7430285 -0.64315012 -0.67401029 -0.024849068 -0.074356531 0.08668755 -0.6992622 -0.76302218 -0.70948344 -0.5631408 -0.59122478 0.70781435 -0.026059048 0.04809379 -0.96645757 -0.94456454 -0.92696628
"4" 4 "standing" -0.63501901 0.16047988 -0.66650672 -0.0005439918 -0.18058411 -0.11056555 -0.65202308 -0.60169622 -0.82515487 -0.644622 -0.59385515 -0.86054467 -0.60209804 0.096363669 -0.67294834 -0.18451857 0.084770754 -0.016409686 -0.62880638 -0.52583457 -0.75523543 -0.59755132 -0.53466152 -0.70876404 -0.83883321 0.15907573 -0.86309686 -0.74565075 -0.12930152 -0.7325863 -0.11851821 -0.37533254 0.02418894 -0.64188198 -0.83152753 -0.68930895 -0.72174919 -0.78288574 -0.76708957 -0.65611631 -0.64724997 0.078863785 0.0035134095 -0.0073737514 -0.63185308 -0.5840632 -0.84335323 -0.56158214 -0.60655605 0.27418311 -0.014808155 -0.10752143 -0.60521173 -0.50992938 -0.70949274 -0.81919137 -0.84418706 -0.10785932 -0.040042757 -0.05780893 -0.72378862 -0.90250259 -0.74836914 -0.65629109 -0.70673849 -0.028941791 -0.078722991 0.095717487 -0.7013977 -0.79823575 -0.7263742 -0.56158214 -0.60655605 0.70659304 0.1125912 0.1641309 -0.96263698 -0.9414168 -0.94140343
"5" 5 "walking" -0.57317618 0.1316193 -0.61348512 -0.10292084 -0.27429092 -0.16370625 -0.60476987 -0.55099197 -0.76876236 -0.58401363 -0.49150043 -0.79883556 -0.52850302 0.078145559 -0.59425953 -0.22637069 0.074863686 0.0062663176 -0.55123771 -0.44023243 -0.69617181 -0.49282989 -0.42216217 -0.64935121 -0.74882931 0.030756456 -0.7356106 -0.67735576 0.062219114 -0.71573115 -0.038164699 -0.072066601 0.074402899 -0.6322393 -0.71706219 -0.53732913 -0.73573858 -0.70229039 -0.66935369 -0.58931387 -0.58903127 0.08410199 0.001765683 -0.0029537113 -0.57589054 -0.50654436 -0.78456199 -0.46086642 -0.52162345 0.27917796 -0.015483346 -0.10566174 -0.50769101 -0.40272491 -0.64644364 -0.70738352 -0.73418749 -0.10352288 -0.049062452 -0.050625816 -0.66258131 -0.77411427 -0.56468077 -0.60277028 -0.66407838 -0.029451687 -0.077431645 0.086626712 -0.70995568 -0.70563831 -0.60658982 -0.46086642 -0.52162345 0.69815372 0.11231311 0.09216072 -0.96462911 -0.93997378 -0.94207868
"6" 6 "walking" -0.49488232 0.083116545 -0.51671126 -0.095614026 -0.30542267 -0.10068239 -0.54939427 -0.50355897 -0.72086716 -0.55534616 -0.43783746 -0.75575114 -0.47397492 0.10234668 -0.57091029 -0.19153707 0.059011488 0.11304609 -0.50617493 -0.39204141 -0.68372595 -0.50668028 -0.39667779 -0.69436521 -0.65188691 0.081817623 -0.66017588 -0.57913005 0.1041934 -0.65736867 0.028908719 -0.042790021 0.10104478 -0.53720144 -0.62118872 -0.50760421 -0.69286244 -0.63323623 -0.67302031 -0.55141365 -0.50293506 0.08138336 0.00047928113 -0.002258963 -0.53146831 -0.4544375 -0.73895521 -0.46477001 -0.48379061 0.27237661 -0.017569704 -0.11599454 -0.50508609 -0.36840367 -0.672512 -0.62193616 -0.64447449 -0.082915997 -0.045492101 -0.053361032 -0.54600997 -0.67763598 -0.52690831 -0.54949485 -0.57983782 -0.043361179 -0.07061291 0.097313029 -0.65380066 -0.62625207 -0.59991023 -0.46477001 -0.48379061 0.68870206 0.016205546 0.047519999 -0.95889871 -0.95093489 -0.93791022
"7" 7 "walking" -0.55336001 0.10869573 -0.55068325 -0.1197843 -0.23950171 -0.22026086 -0.63752194 -0.64168733 -0.64251572 -0.62678574 -0.62853163 -0.68485644 -0.51832388 -0.010687375 -0.5838198 -0.31179051 -0.03007133 0.014662085 -0.59301129 -0.56354779 -0.53100594 -0.57234754 -0.56704698 -0.46079212 -0.66887919 0.063192044 -0.66896336 -0.62887727 -0.035227633 -0.65092365 -0.13449177 -0.10388451 -0.086341238 -0.64376758 -0.63041928 -0.65508335 -0.70388365 -0.67116192 -0.69894952 -0.62281577 -0.55056023 0.083182957 0.0076090977 -0.007917257 -0.61513138 -0.62299742 -0.66433686 -0.51131204 -0.51066988 0.2702117 -0.018790489 -0.11249238 -0.57751832 -0.54640337 -0.45647364 -0.71319135 -0.65801784 -0.094203738 -0.041440141 -0.061030793 -0.7017312 -0.67492011 -0.75080871 -0.5818999 -0.5986708 -0.051871693 -0.064607711 0.097767172 -0.68715547 -0.65240866 -0.66334076 -0.51131204 -0.51066988 0.68128912 -0.042022145 0.034216071 -0.95653818 -0.95531255 -0.92330472
"8" 8 "walking" -0.71574579 0.25995156 -0.74923644 0.10672562 -0.10224137 -0.007328548 -0.76658322 -0.66234843 -0.82587098 -0.77281133 -0.60558769 -0.8508223 -0.69356839 0.18433072 -0.77087789 -0.1236149 0.076660365 0.13084263 -0.74495216 -0.58185453 -0.77933353 -0.75059989 -0.58195341 -0.77516707 -0.81745554 0.22637648 -0.85024242 -0.74167915 0.0005411992 -0.75555475 -0.067513359 -0.12011506 0.0034007324 -0.68311415 -0.75756827 -0.7583613 -0.73627729 -0.72860946 -0.781839 -0.72572751 -0.72913616 0.068609537 0.004964157 -0.011021165 -0.75891396 -0.62272856 -0.83910435 -0.68460715 -0.71328703 0.27826889 -0.014453707 -0.10900631 -0.74865489 -0.56345061 -0.76455451 -0.7908853 -0.82582835 -0.10711884 -0.036876527 -0.060258202 -0.73588313 -0.8172126 -0.82163132 -0.66326589 -0.72093816 -0.024659926 -0.074439465 0.081176835 -0.72259064 -0.73767505 -0.75899875 -0.68460715 -0.71328703 0.60178257 0.18729825 0.17700741 -0.97475133 -0.95591205 -0.95611688
"9" 8 "walkingupstairs" -0.42779663 0.27782642 -0.54665547 -0.02527018 -0.20540883 -0.12355766 -0.49647087 -0.40536897 -0.54551145 -0.5037537 -0.37519966 -0.60480621 -0.41339966 0.12598573 -0.58677686 -0.26628781 -0.0010478885 0.069937532 -0.4931009 -0.26239413 -0.42676478 -0.49545123 -0.26807185 -0.37071117 -0.63943845 0.2223193 -0.70429979 -0.53834807 -0.036151459 -0.57200793 -0.14407727 -0.17224617 -0.068279917 -0.55692395 -0.47713986 -0.39893083 -0.64209298 -0.48849007 -0.4300171 -0.43009252 -0.47490193 0.092704837 -0.0013720154 -0.024377661 -0.47649215 -0.36951416 -0.57547762 -0.35098209 -0.46741504 0.26667405 -0.020221603 -0.10561472 -0.49282751 -0.23294076 -0.35527983 -0.60984136 -0.65600868 -0.1038009 -0.041841422 -0.0572174 -0.64185825 -0.61012846 -0.62761623 -0.37446745 -0.50553271 0.01895755 -0.10012787 0.054790512 -0.62011612 -0.48024537 -0.37670487 -0.35098209 -0.46741504 0.67236545 -0.05506755 0.03287422 -0.94310847 -0.94438549 -0.90526481
"10" 9 "standing" -0.60919372 0.09835983 -0.61161934 -0.21917627 -0.29610774 -0.2902923 -0.62137714 -0.69976661 -0.70293193 -0.57281989 -0.67906586 -0.73913992 -0.55318645 -0.0035826913 -0.62445683 -0.29134923 -0.08790033 -0.030433423 -0.5792584 -0.6102678 -0.59211912 -0.54799574 -0.58676608 -0.50107401 -0.78647395 0.092776374 -0.80129629 -0.7008631 -0.10882863 -0.69772943 -0.20590925 -0.24088044 -0.19615328 -0.63986322 -0.68392429 -0.61268046 -0.6906899 -0.66720322 -0.61946863 -0.62160825 -0.60886215 0.084017143 0.0067848585 -0.0010299809 -0.57830516 -0.67892387 -0.72161009 -0.50518347 -0.55303826 0.27031384 -0.020946656 -0.10123383 -0.55565654 -0.5758879 -0.50611178 -0.76297958 -0.78617689 -0.089225493 -0.039734442 -0.053402884 -0.76171087 -0.77327388 -0.74465604 -0.55020187 -0.66319839 -0.070131815 -0.072988431 0.10909291 -0.67645239 -0.67049822 -0.58755769 -0.50518347 -0.55303826 0.67084555 -0.0467447 0.10435365 -0.95878467 -0.94993812 -0.92055432
